episode,wining or draw rate,wining rate
0,0.4652,0.4652
100,0.44454,0.43944
200,0.44926,0.43836
300,0.44132,0.4247
400,0.44036,0.42484
500,0.44472,0.42996
600,0.44258,0.42574
700,0.44242,0.42412
800,0.45334,0.43668
900,0.44982,0.43366
1000,0.45176,0.43722
1100,0.4623,0.44434
1200,0.4556,0.43792
1300,0.44956,0.43716
1400,0.46178,0.44562
1500,0.45642,0.44134
1600,0.45774,0.4442
1700,0.46698,0.45248
1800,0.46342,0.45
1900,0.45194,0.43628
2000,0.45956,0.44442
2100,0.46604,0.45172
2200,0.45994,0.44502
2300,0.46696,0.4537
2400,0.46624,0.45198
2500,0.46784,0.45192
2600,0.46206,0.44614
2700,0.46594,0.45142
2800,0.45636,0.44504
2900,0.45894,0.44614
3000,0.46556,0.45316
3100,0.47376,0.4586
3200,0.46412,0.45106
3300,0.46692,0.4548
3400,0.46178,0.4504
3500,0.4691,0.45616
3600,0.46498,0.45162
3700,0.46262,0.44952
3800,0.46788,0.45352
3900,0.46894,0.45334
4000,0.47006,0.45592
4100,0.46324,0.44922
4200,0.46432,0.4516
4300,0.46782,0.45352
4400,0.47032,0.456
4500,0.4686,0.45552
4600,0.46882,0.45592
4700,0.4723,0.4562
4800,0.48,0.46394
4900,0.4768,0.45844
5000,0.47136,0.45386
5100,0.477,0.45868
5200,0.47022,0.4544
5300,0.47472,0.45826
5400,0.4756,0.45924
5500,0.47274,0.45396
5600,0.47196,0.45568
5700,0.47674,0.46178
5800,0.47838,0.4626
5900,0.47388,0.4601
6000,0.47158,0.45722
6100,0.47504,0.4587
6200,0.4772,0.45988
6300,0.47726,0.46002
6400,0.48002,0.46516
6500,0.47298,0.45704
6600,0.4685,0.4539
6700,0.4704,0.45728
6800,0.47018,0.45642
6900,0.46704,0.4533
7000,0.47034,0.45736
7100,0.4739,0.45934
7200,0.47632,0.46042
7300,0.47504,0.46088
7400,0.47742,0.46424
7500,0.48408,0.46834
7600,0.48112,0.4653
7700,0.48524,0.46788
7800,0.48446,0.46768
7900,0.4811,0.46438
8000,0.48614,0.47006
8100,0.48238,0.46482
8200,0.48042,0.46274
8300,0.4781,0.46248
8400,0.48386,0.4665
8500,0.4776,0.46364
8600,0.4759,0.46066
8700,0.47882,0.4633
8800,0.4815,0.46742
8900,0.47762,0.46418
9000,0.48028,0.46516
9100,0.48224,0.46816
9200,0.48638,0.46992
9300,0.47952,0.46438
9400,0.48482,0.46818
9500,0.4829,0.46818
9600,0.48396,0.46548
9700,0.48348,0.4671
9800,0.48406,0.46808
9900,0.48352,0.46716
10000,0.47972,0.46362
10100,0.48328,0.4663
10200,0.48222,0.4653
10300,0.48308,0.46662
10400,0.48178,0.46428
10500,0.48158,0.46354
10600,0.47902,0.46168
10700,0.47718,0.4601
10800,0.48148,0.46408
10900,0.47938,0.46376
11000,0.48048,0.4664
11100,0.4757,0.45924
11200,0.47702,0.46122
11300,0.47448,0.45908
11400,0.48004,0.46546
11500,0.48154,0.4661
11600,0.47674,0.46308
11700,0.48056,0.4681
11800,0.4772,0.46224
11900,0.47816,0.4639
12000,0.48234,0.46642
12100,0.48864,0.47322
12200,0.47504,0.4598
12300,0.47806,0.4624
12400,0.47466,0.45776
12500,0.4777,0.46048
12600,0.48042,0.463
12700,0.47848,0.46352
12800,0.47974,0.46734
12900,0.4741,0.46074
13000,0.47652,0.46
13100,0.47668,0.4613
13200,0.48024,0.46542
13300,0.48034,0.46552
13400,0.47738,0.46004
13500,0.47622,0.4576
13600,0.47254,0.4557
13700,0.48084,0.46202
13800,0.48092,0.46408
13900,0.4763,0.46208
14000,0.47408,0.45852
14100,0.47808,0.46524
14200,0.47494,0.4611
14300,0.47154,0.459
14400,0.4719,0.4589
14500,0.47474,0.4598
14600,0.47618,0.46006
14700,0.47218,0.45602
14800,0.4743,0.4611
14900,0.4722,0.45638
15000,0.47828,0.4653
15100,0.4791,0.46452
15200,0.47558,0.45996
15300,0.47776,0.46374
15400,0.48054,0.46376
15500,0.47946,0.4621
15600,0.48132,0.46574
15700,0.48058,0.46514
15800,0.47548,0.46234
15900,0.4854,0.4703
16000,0.48068,0.46196
16100,0.48512,0.46886
16200,0.47848,0.46264
16300,0.47752,0.46292
16400,0.48064,0.4651
16500,0.48372,0.46832
16600,0.48022,0.46528
16700,0.47596,0.46464
16800,0.48554,0.47072
16900,0.47908,0.46532
17000,0.47836,0.4626
17100,0.47742,0.46228
17200,0.48316,0.46884
17300,0.47888,0.4646
17400,0.48584,0.4677
17500,0.48358,0.46872
17600,0.47396,0.45966
17700,0.47892,0.4662
17800,0.47988,0.46492
17900,0.4769,0.46344
18000,0.4789,0.46468
18100,0.47962,0.4677
18200,0.48062,0.4663
18300,0.48048,0.46838
18400,0.48112,0.4673
18500,0.48264,0.46878
18600,0.483,0.46836
18700,0.48058,0.4678
18800,0.47594,0.46188
18900,0.47094,0.45904
19000,0.47952,0.46666
19100,0.47538,0.46292
19200,0.47582,0.46332
19300,0.47628,0.46306
19400,0.47854,0.46734
19500,0.48046,0.46824
19600,0.48088,0.46754
19700,0.48028,0.4662
19800,0.47966,0.4676
19900,0.48074,0.46764
20000,0.48036,0.46706
20100,0.48306,0.47046
20200,0.48264,0.46596
20300,0.48368,0.46842
20400,0.48596,0.469
20500,0.48534,0.46822
20600,0.48382,0.46584
20700,0.48324,0.4672
20800,0.47744,0.46206
20900,0.48542,0.46956
21000,0.48812,0.47126
21100,0.48484,0.4692
21200,0.48128,0.4648
21300,0.4756,0.45818
21400,0.47798,0.4617
21500,0.47504,0.46036
21600,0.47504,0.46234
21700,0.47894,0.46468
21800,0.48072,0.46656
21900,0.47446,0.46028
22000,0.4803,0.46514
22100,0.47554,0.4584
22200,0.48038,0.46566
22300,0.4757,0.46012
22400,0.47634,0.46108
22500,0.48164,0.4658
22600,0.48052,0.46536
22700,0.48188,0.46534
22800,0.47152,0.45608
22900,0.47482,0.46054
23000,0.47858,0.46442
23100,0.47672,0.4612
23200,0.47664,0.45902
23300,0.4783,0.46174
23400,0.4754,0.46038
23500,0.48084,0.46416
23600,0.48394,0.46662
23700,0.4826,0.4663
23800,0.48384,0.4697
23900,0.47794,0.4628
24000,0.47792,0.46356
24100,0.48292,0.47058
24200,0.4829,0.47104
24300,0.48234,0.46976
24400,0.48066,0.46834
24500,0.48042,0.4682
